trial_id,attempt_index,condition,eligible,successful,terminal_outcome,failure_codes,harness_boundary_latency_ms
p3f-001,1,onset-fd-transcript,false,false,phase3_capture_complete_pending_classification,agent_never_spoke|stimulus_started_without_agent_audio,
p3f-002,2,onset-fd-vad,true,true,phase3_capture_complete_pending_classification,,420.518958
p3f-003,3,onset-fd-vad,true,true,phase3_capture_complete_pending_classification,,440.332375
p3f-004,4,onset-fd-transcript,true,true,phase3_capture_complete_pending_classification,,861.265416
p3f-005,5,onset-fd-vad,false,false,phase3_capture_complete_pending_classification,agent_never_spoke|stimulus_started_without_agent_audio,
p3f-006,6,onset-fd-transcript,true,true,phase3_capture_complete_pending_classification,,680.395791
p3f-007,7,onset-fd-vad,true,false,post_stimulus_response_not_observed,call_transport_failure,
p3f-008,8,onset-fd-transcript,true,false,post_stimulus_echo_detected,call_transport_failure,
p3f-009,9,onset-fd-vad,true,true,phase3_capture_complete_pending_classification,,442.653
p3f-010,10,onset-fd-transcript,false,false,post_stimulus_echo_detected,agent_never_spoke|call_transport_failure|stimulus_started_without_agent_audio,
p3f-011,11,onset-fd-vad,true,true,phase3_capture_complete_pending_classification,,480.297209
p3f-012,12,onset-fd-transcript,true,true,phase3_capture_complete_pending_classification,,1938.719708
p3f-013,13,onset-fd-vad,true,true,phase3_capture_complete_pending_classification,,501.58025
p3f-014,14,onset-fd-transcript,true,true,phase3_capture_complete_pending_classification,,921.341041
p3f-015,15,onset-fd-vad,true,true,phase3_capture_complete_pending_classification,,299.448666
p3f-016,16,onset-fd-transcript,false,false,phase3_capture_complete_pending_classification,agent_never_spoke|caller_turn_duplicated|stimulus_started_without_agent_audio,
p3f-017,17,onset-fd-vad,true,true,phase3_capture_complete_pending_classification,,360.713792
p3f-018,18,onset-fd-transcript,true,true,phase3_capture_complete_pending_classification,,881.097292
p3f-019,19,onset-fd-transcript,true,true,phase3_capture_complete_pending_classification,,1040.686084
p3f-020,20,onset-fd-vad,true,false,post_stimulus_echo_detected,call_transport_failure,
